Timestamp,X,Y,Z
26-Jul-2023 13:27:54.764,-3.1795,-9.112331,1.151611
26-Jul-2023 13:27:54.844,-3.028665,-9.270349,1.314417
26-Jul-2023 13:27:54.924,-3.217807,-9.028535,1.254562
26-Jul-2023 13:27:55.004,-3.160346,-9.124303,1.276109
26-Jul-2023 13:27:55.084,-3.057395,-9.105149,1.194707
26-Jul-2023 13:27:55.164,-2.999935,-8.889671,1.458069
26-Jul-2023 13:27:55.244,-2.15957,-8.269572,-0.011971
26-Jul-2023 13:27:55.324,-1.649605,-9.184157,-1.848324
26-Jul-2023 13:27:55.404,-4.627992,-14.923059,-1.632846
26-Jul-2023 13:27:55.484,-3.28245,-8.925584,-0.742203
26-Jul-2023 13:27:55.564,-1.393425,-5.858612,0.069432
26-Jul-2023 13:27:55.644,0.952892,-12.543222,2.875436
26-Jul-2023 13:27:55.724,-1.692701,-14.592659,1.582567
26-Jul-2023 13:27:55.804,-1.891419,-7.752425,0.950498
26-Jul-2023 13:27:55.884,0.146046,-10.149021,1.733402
26-Jul-2023 13:27:55.964,-0.023942,-9.65821,0.093374
26-Jul-2023 13:27:56.044,1.369483,-6.833052,-0.675165
26-Jul-2023 13:27:56.124,-1.750161,-8.913613,-1.237802
26-Jul-2023 13:27:56.204,-5.2026,-6.833052,-2.705448
26-Jul-2023 13:27:56.284,-4.122815,-6.730101,-1.410185
26-Jul-2023 13:27:56.364,-6.26802,-6.414066,-3.600879
26-Jul-2023 13:27:56.444,-5.932832,-9.409213,-2.604892
26-Jul-2023 13:27:56.524,-8.726865,-9.73243,-2.839523
26-Jul-2023 13:27:56.604,-8.504205,-6.974309,-2.736573
26-Jul-2023 13:27:56.684,-7.218518,-5.453991,-3.330335
26-Jul-2023 13:27:56.764,-7.084443,-4.96318,-3.246537
26-Jul-2023 13:27:56.844,-6.964733,-5.281609,-3.074155
26-Jul-2023 13:27:56.924,-7.723695,-5.212177,-4.084508
26-Jul-2023 13:27:57.004,-7.908048,-5.291186,-4.247314
26-Jul-2023 13:27:57.084,-7.632715,-4.551377,-4.893748
26-Jul-2023 13:27:57.164,-7.623138,-4.527435,-4.994305
26-Jul-2023 13:27:57.244,-7.410054,-4.594473,-4.570531
26-Jul-2023 13:27:57.324,-7.37893,-4.572925,-4.711789
26-Jul-2023 13:27:57.404,-7.513005,-4.620809,-4.898537
26-Jul-2023 13:27:57.484,-7.517793,-4.458004,-4.647145
26-Jul-2023 13:27:57.564,-7.457938,-4.577713,-4.568137
26-Jul-2023 13:27:57.644,-7.584831,-4.599261,-4.414908
26-Jul-2023 13:27:57.724,-7.560889,-4.501099,-4.295198
26-Jul-2023 13:27:57.804,-7.570466,-4.594473,-4.405331
26-Jul-2023 13:27:57.884,-7.548918,-4.644751,-4.398149
26-Jul-2023 13:27:57.964,-7.57286,-4.623203,-4.450821
26-Jul-2023 13:27:58.044,-7.563283,-4.55856,-4.458004
26-Jul-2023 13:27:58.124,-7.563283,-4.575319,-4.446033
26-Jul-2023 13:27:58.204,-7.623138,-4.553771,-4.419696
26-Jul-2023 13:27:58.284,-7.620744,-4.594473,-4.400543
26-Jul-2023 13:27:58.364,-7.582437,-4.565742,-4.371812
26-Jul-2023 13:27:58.444,-7.568071,-4.55856,-4.383783
26-Jul-2023 13:27:58.524,-7.608773,-4.572925,-4.422091
26-Jul-2023 13:27:58.604,-7.606379,-4.594473,-4.386178
26-Jul-2023 13:27:58.684,-7.582437,-4.58729,-4.350265
26-Jul-2023 13:27:58.764,-7.568071,-4.594473,-4.381389
26-Jul-2023 13:27:58.844,-7.606379,-4.589684,-4.407725
26-Jul-2023 13:27:58.924,-7.594408,-4.592079,-4.43885
26-Jul-2023 13:27:59.004,-7.635109,-4.611232,-4.41012
26-Jul-2023 13:27:59.084,-7.551312,-4.582502,-4.39336
26-Jul-2023 13:27:59.164,-7.582437,-4.596867,-4.402937
26-Jul-2023 13:27:59.244,-7.587225,-4.592079,-4.41012
26-Jul-2023 13:27:59.324,-7.594408,-4.572925,-4.417302
26-Jul-2023 13:27:59.404,-7.599196,-4.592079,-4.405331
26-Jul-2023 13:27:59.484,-7.615956,-4.592079,-4.398149
26-Jul-2023 13:27:59.564,-7.606379,-4.608838,-4.424485
26-Jul-2023 13:27:59.644,-7.582437,-4.570531,-4.390966
26-Jul-2023 13:27:59.724,-7.596802,-4.618415,-4.371812
26-Jul-2023 13:27:59.804,-7.584831,-4.589684,-4.376601
26-Jul-2023 13:27:59.883,-7.61835,-4.589684,-4.376601
26-Jul-2023 13:27:59.964,-7.587225,-4.592079,-4.390966
26-Jul-2023 13:28:00.044,-7.599196,-4.572925,-4.383783
26-Jul-2023 13:28:00.124,-7.627927,-4.592079,-4.424485
26-Jul-2023 13:28:00.204,-7.61835,-4.568137,-4.369418
26-Jul-2023 13:28:00.284,-7.594408,-4.572925,-4.386178
26-Jul-2023 13:28:00.364,-7.603985,-4.551377,-4.388572
26-Jul-2023 13:28:00.444,-7.630321,-4.563348,-4.41012
26-Jul-2023 13:28:00.524,-7.61835,-4.560954,-4.41012
26-Jul-2023 13:28:00.604,-7.601591,-4.55856,-4.39336
26-Jul-2023 13:28:00.684,-7.596802,-4.544195,-4.434062
26-Jul-2023 13:28:00.764,-7.627927,-4.525041,-4.450821
26-Jul-2023 13:28:00.844,-7.613562,-4.5418,-4.436456
26-Jul-2023 13:28:00.924,-7.620744,-4.525041,-4.448427
26-Jul-2023 13:28:01.004,-7.594408,-4.515464,-4.414908
26-Jul-2023 13:28:01.084,-7.615956,-4.503493,-4.469975
26-Jul-2023 13:28:01.164,-7.601591,-4.515464,-4.474763
26-Jul-2023 13:28:01.244,-7.603985,-4.503493,-4.486734
26-Jul-2023 13:28:01.324,-7.577648,-4.51307,-4.501099
26-Jul-2023 13:28:01.404,-7.589619,-4.496311,-4.458004
26-Jul-2023 13:28:01.484,-7.594408,-4.508282,-4.472369
26-Jul-2023 13:28:01.564,-7.601591,-4.505888,-4.510676
26-Jul-2023 13:28:01.644,-7.603985,-4.481946,-4.520253
26-Jul-2023 13:28:01.724,-7.57286,-4.486734,-4.51307
26-Jul-2023 13:28:01.804,-7.594408,-4.481946,-4.481946
26-Jul-2023 13:28:01.884,-7.627927,-4.520253,-4.505888
26-Jul-2023 13:28:01.964,-7.584831,-4.460398,-4.515464
26-Jul-2023 13:28:02.044,-7.599196,-4.496311,-4.496311
26-Jul-2023 13:28:02.124,-7.568071,-4.505888,-4.458004
26-Jul-2023 13:28:02.204,-7.620744,-4.491522,-4.505888
26-Jul-2023 13:28:02.284,-7.589619,-4.462792,-4.51307
26-Jul-2023 13:28:02.364,-7.611167,-4.503493,-4.493917
26-Jul-2023 13:28:02.444,-7.57286,-4.481946,-4.501099
26-Jul-2023 13:28:02.524,-7.606379,-4.493917,-4.515464
26-Jul-2023 13:28:02.604,-7.592013,-4.469975,-4.479551
26-Jul-2023 13:28:02.684,-7.594408,-4.493917,-4.505888
26-Jul-2023 13:28:02.764,-7.599196,-4.469975,-4.515464
26-Jul-2023 13:28:02.844,-7.601591,-4.458004,-4.522647
26-Jul-2023 13:28:02.924,-7.613562,-4.479551,-4.517859
26-Jul-2023 13:28:03.004,-7.608773,-4.472369,-4.491522
26-Jul-2023 13:28:03.084,-7.635109,-4.453215,-4.455609
26-Jul-2023 13:28:03.164,-7.599196,-4.462792,-4.493917
26-Jul-2023 13:28:03.244,-7.611167,-4.472369,-4.491522
26-Jul-2023 13:28:03.324,-7.608773,-4.448427,-4.48434
26-Jul-2023 13:28:03.404,-7.627927,-4.46758,-4.489128
26-Jul-2023 13:28:03.484,-7.644686,-4.481946,-4.493917
26-Jul-2023 13:28:03.564,-7.601591,-4.458004,-4.46758
26-Jul-2023 13:28:03.644,-7.608773,-4.474763,-4.48434
26-Jul-2023 13:28:03.724,-7.61835,-4.489128,-4.503493
26-Jul-2023 13:28:03.804,-7.61835,-4.465186,-4.448427
26-Jul-2023 13:28:03.884,-7.611167,-4.477157,-4.486734
26-Jul-2023 13:28:03.964,-7.630321,-4.477157,-4.458004
26-Jul-2023 13:28:04.044,-7.630321,-4.48434,-4.458004
26-Jul-2023 13:28:04.124,-7.625533,-4.503493,-4.472369
26-Jul-2023 13:28:04.204,-7.615956,-4.489128,-4.460398
26-Jul-2023 13:28:04.284,-7.596802,-4.489128,-4.46758
26-Jul-2023 13:28:04.364,-7.630321,-4.486734,-4.481946
26-Jul-2023 13:28:04.444,-7.615956,-4.479551,-4.453215
26-Jul-2023 13:28:04.524,-7.615956,-4.465186,-4.479551
